,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
101,Hungary,HUN,Gini index,SI.POV.GINI,,,,,29.9,34.7,28.3,27.9,27.5,27.0,29.4,29.2,30.8,31.5,30.9,30.4,30.3,30.6,29.6,30.0,29.7,29.7,29.7
106,Indonesia,IDN,Gini index,SI.POV.GINI,29.5,30.0,32.8,33.0,33.9,34.1,35.3,36.7,36.1,36.0,37.2,40.5,40.5,40.8,40.2,40.4,39.3,38.8,38.4,37.6,37.6,37.9,37.9
109,India,IND,Gini index,SI.POV.GINI,,,,,34.4,34.6,34.8,35.0,35.199999999999996,35.4,35.55,35.7,35.45,35.2,34.95,34.7,34.8,35.9,34.6,35.0,34.8,34.2,34.2
111,Ireland,IRL,Gini index,SI.POV.GINI,33.0,32.65,32.3,32.9,33.6,33.8,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,31.8,32.8,31.4,30.6,30.8,29.2,29.2,29.2
112,"Iran, Islamic Rep.",IRN,Gini index,SI.POV.GINI,,,,,,43.6,44.8,43.9,43.0,42.1,40.925,39.75,38.575,37.4,38.8,39.5,40.0,40.8,42.0,40.9,40.9,40.9,40.9
113,Iraq,IRQ,Gini index,SI.POV.GINI,,,,,,,28.6,28.75,28.900000000000002,29.05,29.2,29.35,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5
114,Iceland,ISL,Gini index,SI.POV.GINI,,,,26.8,28.0,29.0,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,26.8,27.2,26.1,26.1,26.1,26.1,26.1,26.1
115,Israel,ISR,Gini index,SI.POV.GINI,,38.9,39.6,40.7,41.5,42.3,41.6,41.1,41.6,42.6,42.5,41.4,41.6,40.2,39.8,39.7,39.0,38.2,38.6,38.6,38.6,38.6,38.6
116,Italy,ITA,Gini index,SI.POV.GINI,35.3,35.166666666666664,35.03333333333333,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,35.2,35.9,35.2,34.6,35.2,35.2,35.2
117,Jamaica,JAM,Gini index,SI.POV.GINI,,,48.3,46.9,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
118,Jordan,JOR,Gini index,SI.POV.GINI,,,37.0,36.225,35.45,34.675,33.9,33.25,32.6,33.150000000000006,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7
119,Japan,JPN,Gini index,SI.POV.GINI,,,,,,,,,34.8,33.45,32.1,32.36666666666667,32.63333333333333,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9
120,Kazakhstan,KAZ,Gini index,SI.POV.GINI,,36.0,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28.0,28.0,28.2,27.1,27.0,26.8,27.2,27.5,27.8,27.8,27.8,27.8,27.8
121,Kenya,KEN,Gini index,SI.POV.GINI,,,,,,46.5,45.93,45.36,44.79,44.22,43.65,43.08,42.51,41.94,41.37,40.8,39.879999999999995,38.96,38.04,37.120000000000005,36.2,38.7,38.7
122,Kyrgyz Republic,KGZ,Gini index,SI.POV.GINI,31.0,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29.0,26.8,27.3,27.7,29.7,29.0,29.0,29.0
124,Kiribati,KIR,Gini index,SI.POV.GINI,,,,,,,37.0,36.292307692307695,35.58461538461538,34.87692307692308,34.16923076923077,33.46153846153846,32.753846153846155,32.04615384615385,31.338461538461537,30.630769230769232,29.923076923076923,29.215384615384615,28.50769230769231,27.8,27.8,27.8,27.8
126,"Korea, Rep.",KOR,Gini index,SI.POV.GINI,,,,,,,31.7,32.0,32.3,32.15,32.0,31.8,31.6,31.4,31.2,31.299999999999997,31.4,31.4,31.4,31.4,31.4,31.4,31.4
129,Lao PDR,LAO,Gini index,SI.POV.GINI,,,32.6,33.160000000000004,33.72,34.28,34.839999999999996,35.4,35.519999999999996,35.64,35.76,35.88,36.0,36.46666666666667,36.93333333333333,37.4,37.86666666666667,38.33333333333333,38.8,38.8,38.8,38.8,38.8
130,Lebanon,LBN,Gini index,SI.POV.GINI,,,,,,,,,,,,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8
